,x,y
0,788.825,-24.799999999999997
1,786.72,-25.369999999999997
2,784.53,-25.95
3,783.5699999999999,-26.195
4,781.49,-26.71
5,779.49,-27.175
6,777.5550000000001,-27.6
7,775.675,-27.975
8,773.8499999999999,-28.3
9,772.06,-28.59
10,770.3,-28.825000000000003
11,768.5699999999999,-29.02
12,766.85,-29.174999999999997
13,765.13,-29.285
14,763.415,-29.355
15,761.685,-29.38
16,759.935,-29.365000000000002
17,758.155,-29.310000000000002
18,756.335,-29.215
19,754.47,-29.085
20,751.6099999999999,-28.810000000000002
21,749.595,-28.585
22,748.51,-28.45
23,745.3199999999999,-28.02
24,741.91,-27.465
25,740.89,-27.335
