,x,y
0,788.585,-25.21
1,786.4849999999999,-25.78
2,784.3,-26.365000000000002
3,783.335,-26.61
4,781.26,-27.130000000000003
5,779.26,-27.6
6,777.3299999999999,-28.02
7,775.45,-28.4
8,773.625,-28.735
9,771.835,-29.02
10,770.085,-29.265
11,768.345,-29.46
12,766.63,-29.62
13,764.915,-29.735
14,763.2,-29.805
15,761.47,-29.835
16,759.72,-29.825000000000003
17,757.94,-29.77
18,756.12,-29.68
19,754.265,-29.55
20,751.405,-29.28
21,749.39,-29.055
22,748.3050000000001,-28.924999999999997
23,745.115,-28.5
24,741.715,-27.955
25,740.6949999999999,-27.825
