,x,y
0,10884.195,3500.545
1,10883.220000000001,3502.045
2,10882.07,3503.515
3,10880.765,3504.935
4,10879.335,3506.2799999999997
5,10878.625,3506.9
6,10877.035,3508.11
7,10875.355,3509.2
8,10873.61,3510.1400000000003
9,10871.815,3510.915
10,10870.935000000001,3511.225
11,10869.099999999999,3511.715
12,10867.27,3511.99
13,10865.455,3512.02
14,10863.68,3511.79
15,10862.795,3511.535
16,10861.099999999999,3510.875
17,10859.59,3510.06
18,10857.985,3508.58
19,10856.605,3506.91
20,10855.349999999999,3504.83
