,x,y
0,1468.3400000000001,1254.46
1,1468.44,1255.565
2,1468.65,1258.005
3,1468.615,1259.0349999999999
4,1468.495,1261.32
5,1468.2,1263.47
6,1467.97,1264.3899999999999
7,1467.46,1266.38
8,1466.795,1268.25
9,1466.38,1269.065
10,1465.5149999999999,1270.775
11,1464.52,1272.37
12,1463.9299999999998,1273.08
13,1462.76,1274.52
14,1461.4850000000001,1275.855
15,1460.105,1277.08
16,1458.6399999999999,1278.2
17,1457.09,1279.2150000000001
18,1455.47,1280.13
19,1453.79,1280.955
20,1451.9499999999998,1281.73
