,x,y,vx,vy,heading
0,-6597.912627125335,-3259.5634499501716,0.5583790777991972,-5.204488596347509,-1.4684023521756364
1,-6597.8781710176645,-3260.0228033107255,0.533289013770088,-5.106130828298965,-1.4699790689891816
2,-6597.8423507677235,-3260.4733487872286,0.5083304124919513,-4.975861363559726,-1.4704238818008664
3,-6597.803731116114,-3260.9207096031478,0.48563797516327845,-4.819619354401226,-1.469763251989761
4,-6597.75965854837,-3261.370220168825,0.4672890654314445,-4.6419225434988425,-1.4677761358258563
5,-6597.708271763224,-3261.8249868408475,0.4577787485883248,-4.487000805639697,-1.4643072978205869
6,-6597.64885458091,-3262.279234533593,0.4596061397167099,-4.380512458867418,-1.4591100011326243
7,-6597.580115093364,-3262.725767124297,0.46997512067155917,-4.2967154327822055,-1.4518758072648281
8,-6597.499588909452,-3263.1681601582877,0.4901786754060624,-4.228379754343514,-1.4422956762765806
9,-6597.406933792023,-3263.6097765499107,0.5261259985138574,-4.180433340511585,-1.4303543955805271
10,-6597.301155212912,-3264.0496378173743,0.5780113608835862,-4.159515031440417,-1.4159439936623741
11,-6597.180708375008,-3264.4864563210235,0.6447873017960991,-4.16805033742846,-1.398599222220048
12,-6597.043117494398,-3264.92198735422,0.7262909059041981,-4.193316127757647,-1.3782932060912618
13,-6596.886834656193,-3265.3558911535997,0.8177253534911797,-4.213134657619281,-1.3547921997062313
14,-6596.71174168912,-3265.783615898019,0.9161069563991134,-4.220134807561644,-1.3280329276712046
15,-6596.516402566725,-3266.2039930930023,1.0266713471744449,-4.211996845231298,-1.2980947981940127
16,-6596.301151593232,-3266.616215599479,1.1477344970016201,-4.180223118143868,-1.2650760760053148
17,-6596.06820437,-3267.01486572006,1.2718158154602817,-4.128990422839273,-1.2290589581133566
18,-6595.8195142280565,-3267.397962218024,1.4091880032688127,-4.079142382484233,-1.1897533407400491
19,-6595.555309199757,-3267.7650041726943,1.563365890027732,-4.029585988876194,-1.1471331338600583
20,-6595.273914378456,-3268.115762790725,1.7325523800609994,-3.975634197043102,-1.1017807191825795
21,-6594.972988395701,-3268.454176044764,1.910436267165189,-3.9035053357826968,-1.054179011786157
22,-6594.652648126999,-3268.780012660637,2.0941478648634346,-3.808052864638755,-1.0046094366318692
23,-6594.312410422472,-3269.0919159317027,2.289788553079151,-3.712372973288364,-0.9534362802198791
24,-6593.949377181381,-3269.390257549458,2.491038306940263,-3.6129210891144092,-0.9008604885746934
25,-6593.561571767953,-3269.674352804283,2.6928052442347408,-3.496894821491113,-0.8469154005758416
26,-6593.149235779218,-3269.94265596731,2.901153820593538,-3.36912973378764,-0.7919659976752567
27,-6592.715722789383,-3270.1938292090904,3.1276862197278006,-3.2470426036574387,-0.7371085393159226
28,-6592.2631476203305,-3270.4282239373774,3.380422032839739,-3.1404542113687928,-0.682917536051024
29,-6591.789584341805,-3270.6473446990403,3.6721044418455207,-3.053235511916997,-0.629698366880747
30,-6591.293080274261,-3270.852514310318,3.997366070909763,-2.9703846330211783,-0.5779802289229382
31,-6590.777345207084,-3271.0408016663787,4.328449852199948,-2.8667084327148835,-0.5279797196521694
32,-6590.2426793166,-3271.2110360340866,4.65622195340917,-2.739560906065457,-0.4802076106330624
33,-6589.687371649018,-3271.3659482202283,4.967878040515849,-2.589101576245854,-0.4349613867739689
34,-6589.116014480104,-3271.505339974303,5.233071482565048,-2.4203488742809554,-0.39227997036614554
35,-6588.532630225218,-3271.6290206241065,5.444068891372604,-2.2458306392300065,-0.3522636144270918
36,-6587.936531096666,-3271.739018231114,5.627157389331168,-2.0734316505166572,-0.3146950460360068
37,-6587.327797982214,-3271.8357030400534,5.823542070907,-1.9126522729683102,-0.2792642286558434
38,-6586.709237320082,-3271.9195724150222,6.026461216614867,-1.7566665365266714,-0.24590113740122496
39,-6586.079708176801,-3271.9938883706577,6.220978286067021,-1.5986274197722652,-0.21491090969652593
40,-6585.436760967192,-3272.0630807205957,6.428077278955848,-1.447638468394503,-0.18712167597169665
41,-6584.757560387508,-3272.126709294475,6.624493115779401,-1.297704709909676,-0.1618478913971519
42,-6584.033215484568,-3272.1818457392255,6.789759295785569,-1.143704354913469,-0.13796588517452324
43,-6583.291464870214,-3272.227552945301,6.946548145786194,-0.9929748218801657,-0.11572299118446654
44,-6582.558352445537,-3272.26295437289,7.088340251432425,-0.8422271837599539,-0.09561190886991329
45,-6581.856423612053,-3272.288311825865,7.198038911593731,-0.6938532180554042,-0.07813469659807655
46,-6581.202579724424,-3272.304565045195,7.272656799759295,-0.5703658203276347,-0.06327083410250238
47,-6580.607812724517,-3272.3138162882924,7.356183290839389,-0.4848050347494566,-0.05088574281920512
48,-6580.083389075829,-3272.3169253624164,7.438712579295149,-0.4257273254003678,-0.04082671148412185
49,-6579.638648623808,-3272.3145203258473,7.457836413658332,-0.3587775688640287,-0.03296981520047422
50,-6579.275070365064,-3272.3089473536966,7.449943924611254,-0.3170936332953493,-0.02727061325452797
