,x,y
0,9032.295,3295.205
1,9033.915,3290.875
2,9034.41,3289.6400000000003
3,9036.32,3284.705
4,9036.775,3283.66
5,9037.625,3281.7
6,9038.445,3279.945
7,9039.265,3278.38
8,9040.09,3276.995
9,9040.95,3275.775
10,9041.86,3274.715
11,9042.36,3274.2200000000003
12,9043.365,3273.365
13,9044.46,3272.64
14,9045.665,3272.045
15,9046.99,3271.545
16,9048.470000000001,3271.145
17,9049.244999999999,3270.955
18,9050.95,3270.6800000000003
19,9052.845000000001,3270.4700000000003
20,9054.939999999999,3270.315
21,9057.265,3270.21
22,9059.825,3270.145
23,9061.095000000001,3270.11
