,x,y
0,10088.04,3572.625
1,10081.77,3587.205
2,10080.630000000001,3589.77
3,10079.57,3592.09
4,10078.58,3594.1949999999997
5,10077.635,3596.1000000000004
6,10076.725,3597.8199999999997
7,10075.82,3599.38
8,10074.915,3600.8
9,10073.975,3602.0950000000003
10,10073.494999999999,3602.685
11,10072.475,3603.8500000000004
12,10071.380000000001,3604.935
13,10070.19,3605.97
14,10068.875,3606.975
15,10067.43,3607.9700000000003
16,10065.83,3608.9700000000003
17,10064.055,3609.995
18,10062.085,3611.0699999999997
19,10060.965,3611.675
20,10049.16,3618.315
