,x,y
0,-1217.8449999999998,1269.12
1,-1213.4850000000001,1275.53
2,-1212.9450000000002,1276.3600000000001
3,-1211.69,1278.41
4,-1210.6399999999999,1280.38
5,-1210.255,1281.2150000000001
6,-1209.4650000000001,1283.12
7,-1208.87,1284.9499999999998
8,-1208.4650000000001,1286.7150000000001
9,-1208.33,1287.54
10,-1208.1599999999999,1289.24
11,-1208.1999999999998,1290.88
12,-1208.4,1292.4650000000001
13,-1208.77,1293.995
14,-1209.0149999999999,1294.7800000000002
15,-1209.625,1296.255
16,-1210.43,1297.655
17,-1211.3899999999999,1298.985
18,-1212.49,1300.2849999999999
19,-1214.225,1302.1999999999998
20,-1215.4850000000001,1303.5349999999999
