,x,y
0,-1424.185,1522.875
1,-1424.97,1523.645
2,-1427.1,1525.38
3,-1429.1950000000002,1526.845
4,-1430.025,1527.42
5,-1432.105,1528.5500000000002
6,-1432.955,1528.9850000000001
7,-1435.0149999999999,1529.8
8,-1437.025,1530.395
9,-1437.92,1530.615
10,-1439.905,1530.9299999999998
11,-1441.83,1531.05
12,-1443.705,1530.995
13,-1445.5149999999999,1530.79
14,-1447.26,1530.4450000000002
15,-1448.875,1529.92
16,-1450.3600000000001,1529.305
17,-1451.9650000000001,1528.5700000000002
18,-1453.6799999999998,1527.65
19,-1457.88,1525.775
