,x,y
0,-2260.77,-3411.37
1,-2260.8050000000003,-3411.655
2,-2260.785,-3411.71
3,-2260.79,-3411.98
4,-2260.925,-3412.775
5,-2261.64,-3419.6800000000003
6,-2262.0950000000003,-3423.5699999999997
7,-2262.335,-3425.2749999999996
8,-2262.585,-3426.855
9,-2262.855,-3428.3450000000003
10,-2263.1549999999997,-3429.785
11,-2263.49,-3431.2
12,-2263.87,-3432.635
13,-2264.3,-3434.1099999999997
14,-2264.79,-3435.66
15,-2265.65,-3438.145
16,-2265.965,-3439.13
17,-2266.33,-3440.215
18,-2268.86,-3447.1000000000004
