,x,y
0,4591.52,756.725
1,4592.139999999999,757.905
2,4592.885,759.235
3,4595.22,763.185
4,4596.4,765.165
5,4598.38,768.495
6,4598.51,768.765
7,4599.355,770.625
8,4600.05,772.415
9,4600.585,774.1199999999999
10,4600.96,775.73
11,4601.145,777.24
12,4601.13,778.635
13,4601.085,779.335
14,4600.785,780.55
15,4600.26,781.64
16,4599.975,782.1700000000001
17,4599.62,782.64
18,4598.705,783.475
19,4598.2,783.83
20,4596.975,784.46
21,4596.325,784.7049999999999
22,4594.76,785.125
23,4593.97,785.26
24,4592.07,785.45
25,4589.84,785.45
26,4588.85,785.425
27,4586.32,785.07
28,4585.205,784.935
29,4580.445,784.055
30,4579.74,783.92
31,4578.264999999999,783.55
32,4574.805,782.94
33,4574.12,782.765
34,4566.575000000001,781.52
35,4566.16,781.4649999999999
