,x,y
0,-1965.56,411.525
1,-1965.8400000000001,411.705
2,-1966.605,412.13
3,-1968.5149999999999,412.93499999999995
4,-1970.365,413.55499999999995
5,-1971.22,413.76
6,-1973.08,414.085
7,-1974.905,414.205
8,-1975.795,414.195
9,-1977.575,414.04999999999995
10,-1979.3049999999998,413.725
11,-1980.97,413.23
12,-1981.8200000000002,412.925
13,-1983.38,412.20000000000005
14,-1984.85,411.33000000000004
15,-1986.22,410.325
16,-1987.4850000000001,409.20500000000004
17,-1987.72,408.96000000000004
18,-1987.7800000000002,408.855
19,-1988.85,407.26
20,-1988.95,407.05499999999995
