,x,y
0,4521.8099999999995,1098.67
1,4523.8150000000005,1098.345
2,4529.525,1097.47
3,4531.725,1097.205
4,4532.585,1097.08
5,4534.655000000001,1096.91
6,4535.475,1096.835
7,4537.42,1096.77
8,4539.27,1096.79
9,4540.04,1096.81
10,4541.795,1096.96
11,4543.465,1097.21
12,4545.0650000000005,1097.56
13,4545.79,1097.78
14,4547.3099999999995,1098.295
15,4548.775,1098.925
16,4550.1849999999995,1099.67
17,4551.54,1100.54
18,4552.865,1101.5349999999999
19,4554.145,1102.665
20,4555.405000000001,1103.92
21,4556.635,1105.315
22,4558.34,1107.5100000000002
23,4559.655000000001,1109.25
24,4561.145,1111.81
25,4562.389999999999,1113.99
26,4563.63,1116.23
