,x,y
0,9296.845000000001,5028.4400000000005
1,9296.17,5030.26
2,9295.325,5032.515
3,9294.375,5034.525
4,9293.310000000001,5036.305
5,9292.76,5037.16
6,9291.555,5038.629999999999
7,9290.24,5039.875
8,9288.83,5040.905000000001
9,9287.330000000002,5041.719999999999
10,9286.575,5042.145
11,9284.94,5042.67
12,9283.220000000001,5042.995
13,9282.345000000001,5043.16
14,9280.5,5043.200000000001
15,9278.6,5043.0
16,9277.74,5042.875
17,9275.73,5042.41
18,9273.575,5041.764999999999
19,9271.365,5040.889999999999
